Date,Prices,Log price,Log Return,Hypothetical Portfolio Loss,EWMA Means
1/29/2013,1507.84,7.318433442,0.005093062,-0.005106054,-0.001377892
1/30/2013,1501.96,7.314526201,-0.003907241,0.003899618,-0.001219566
1/31/2013,1498.11,7.311959593,-0.002566608,0.002563317,-0.00110608
2/1/2013,1513.17,7.321962067,0.010002474,-0.010052666,-0.001374477
2/4/2013,1495.71,7.310356289,-0.011605778,0.01153869,-0.000987082
2/5/2013,1511.29,7.32071887,0.01036258,-0.010416458,-0.001269964
2/6/2013,1512.12,7.321267919,0.000549049,-0.0005492,-0.001248341
2/7/2013,1509.39,7.319460875,-0.001807044,0.001805412,-0.001156728
2/8/2013,1517.93,7.325102844,0.005641969,-0.005657915,-0.001291764
2/11/2013,1517.01,7.324496571,-0.000606272,0.000606089,-0.001234828
2/12/2013,1519.43,7.326090544,0.001593972,-0.001595243,-0.001245641
2/13/2013,1520.33,7.326682696,0.000592152,-0.000592327,-0.001226041
2/14/2013,1521.38,7.327373097,0.000690401,-0.00069064,-0.001209979
2/15/2013,1519.79,7.326327446,-0.00104565,0.001045104,-0.001142327
2/19/2013,1530.94,7.333637205,0.007309758,-0.00733654,-0.001328153
2/20/2013,1511.95,7.321155487,-0.012481717,0.012404144,-0.000916184
2/21/2013,1502.42,7.31483242,-0.006323067,0.006303118,-0.000699605
2/22/2013,1515.6,7.323566679,0.008734259,-0.008772514,-0.000941792
2/25/2013,1487.85,7.305087404,-0.018479275,0.01830958,-0.000364251
2/26/2013,1496.94,7.311178303,0.0060909,-0.006109487,-0.000536608
2/27/2013,1515.99,7.32382397,0.012645666,-0.012725961,-0.000902289
2/28/2013,1514.68,7.322959475,-0.000864495,0.000864122,-0.000849297
3/1/2013,1518.2,7.325280702,0.002321227,-0.002323923,-0.000893535
3/4/2013,1525.2,7.329880828,0.004600126,-0.004610723,-0.001005051
3/5/2013,1539.79,7.339401322,0.009520494,-0.009565959,-0.001261878
3/6/2013,1541.46,7.340485298,0.001083976,-0.001084563,-0.001256559
3/7/2013,1544.26,7.34230011,0.001814812,-0.00181646,-0.001273356
3/8/2013,1551.18,7.346771211,0.0044711,-0.004481111,-0.001369588
3/11/2013,1556.22,7.350015083,0.003243872,-0.003249139,-0.001425975
3/12/2013,1552.48,7.347608931,-0.002406152,0.002403259,-0.001311098
3/13/2013,1554.52,7.348922095,0.001313164,-0.001314027,-0.001311186
3/14/2013,1563.23,7.354509473,0.005587377,-0.005603016,-0.001439941
3/15/2013,1560.7,7.352889718,-0.001619755,0.001618444,-0.001348189
3/18/2013,1552.1,7.347364132,-0.005525586,0.005510348,-0.001142433
3/19/2013,1548.34,7.344938668,-0.002425463,0.002422524,-0.001035484
3/20/2013,1558.71,7.351613835,0.006675167,-0.006697495,-0.001205345
3/21/2013,1545.8,7.343296855,-0.00831698,0.00828249,-0.00092071
3/22/2013,1556.89,7.350445521,0.007148666,-0.007174279,-0.001108317
3/25/2013,1551.69,7.347099939,-0.003345582,0.003339992,-0.000974867
3/26/2013,1563.77,7.354854851,0.007754913,-0.00778506,-0.001179173
3/27/2013,1562.85,7.354266357,-0.000588495,0.000588322,-0.001126148
3/28/2013,1569.19,7.358314842,0.004048485,-0.004056691,-0.001214065
4/1/2013,1562.17,7.353831159,-0.004483682,0.004473646,-0.001043433
4/2/2013,1570.25,7.358990121,0.005158962,-0.005172292,-0.001167299
4/3/2013,1553.69,7.348388026,-0.010602096,0.010546091,-0.000815897
4/4/2013,1559.98,7.35242828,0.004040254,-0.004048427,-0.000912873
4/5/2013,1553.28,7.348124103,-0.004304177,0.004294927,-0.000756639
4/8/2013,1563.07,7.354407115,0.006283012,-0.006302792,-0.000923024
4/9/2013,1568.61,7.357945156,0.003538041,-0.003544307,-0.001001662
4/10/2013,1587.73,7.370060602,0.012115446,-0.012189136,-0.001337287
4/11/2013,1593.37,7.373606549,0.003545947,-0.003552241,-0.001403735
4/12/2013,1588.85,7.370765763,-0.002840786,0.002836755,-0.00127652
4/15/2013,1552.36,7.347531633,-0.02323413,0.022966296,-0.000549236
4/16/2013,1574.57,7.361737498,0.014205866,-0.014307248,-0.000961976
4/17/2013,1552.01,7.347306144,-0.014431354,0.014327721,-0.000503285
4/18/2013,1541.61,7.340582604,-0.00672354,0.006700988,-0.000287157
4/19/2013,1555.25,7.349391583,0.00880898,-0.008847893,-0.000543979
4/22/2013,1562.5,7.354042382,0.004650798,-0.00466163,-0.000667509
4/23/2013,1578.78,7.364407676,0.010365294,-0.0104192,-0.00096006
4/24/2013,1578.79,7.36441401,6.33E-06,-6.33E-06,-0.000931448
4/25/2013,1585.16,7.368440628,0.004026618,-0.004034735,-0.001024546
4/26/2013,1582.24,7.366596844,-0.001843784,0.001842085,-0.000938547
4/29/2013,1593.61,7.373757162,0.007160318,-0.007186015,-0.001125971
4/30/2013,1597.57,7.376239004,0.002481842,-0.002484924,-0.00116674
5/1/2013,1582.7,7.366887528,-0.009351475,0.009307886,-0.000852501
5/2/2013,1597.59,7.376251523,0.009363994,-0.009407974,-0.001109165
5/3/2013,1614.42,7.386731038,0.010479515,-0.010534618,-0.001391929
5/6/2013,1617.5,7.388637026,0.001905988,-0.001907806,-0.001407405
5/7/2013,1625.96,7.39385369,0.005216663,-0.005230294,-0.001522092
5/8/2013,1632.69,7.39798424,0.004130551,-0.004139093,-0.001600602
5/9/2013,1626.67,7.394290259,-0.003693981,0.003687167,-0.001441969
5/10/2013,1633.7,7.39860266,0.004312401,-0.004321712,-0.001528361
5/13/2013,1633.77,7.398645507,4.28E-05,-4.28E-05,-0.001483794
5/14/2013,1650.34,7.408736606,0.0100911,-0.010142186,-0.001743546
5/15/2013,1658.78,7.413837671,0.005101065,-0.005114098,-0.001844663
5/16/2013,1650.47,7.408815375,-0.005022297,0.005009706,-0.001639032
5/17/2013,1667.47,7.419062787,0.010247412,-0.010300096,-0.001898864
5/20/2013,1666.29,7.418354877,-0.000707909,0.000707659,-0.001820668
5/21/2013,1669.16,7.420075785,0.001720908,-0.001722389,-0.001817719
5/22/2013,1655.35,7.411767746,-0.008308039,0.008273623,-0.001514979
5/23/2013,1650.51,7.40883961,-0.002928136,0.002923853,-0.001381814
5/24/2013,1649.6,7.408288113,-0.000551497,0.000551345,-0.001323819
5/28/2013,1660.06,7.414609025,0.006320912,-0.006340931,-0.001474333
5/29/2013,1648.36,7.407536133,-0.007072892,0.007047938,-0.001218665
5/30/2013,1654.41,7.411199729,0.003663596,-0.003670315,-0.001292214
5/31/2013,1630.74,7.396789179,-0.01441055,0.014307215,-0.000824231
6/3/2013,1640.42,7.402707586,0.005918407,-0.005935955,-0.000977583
6/4/2013,1631.38,7.397181561,-0.005526024,0.005510784,-0.000782932
6/5/2013,1608.9,7.383305995,-0.013875567,0.013779745,-0.000346052
6/6/2013,1622.56,7.391760428,0.008454433,-0.008490273,-0.000590378
6/7/2013,1643.38,7.404510376,0.012749948,-0.012831575,-0.000957614
6/10/2013,1642.81,7.404163469,-0.000346906,0.000346846,-0.00091848
6/11/2013,1626.13,7.393958238,-0.010205232,0.010153335,-0.000586326
6/12/2013,1612.52,7.385553452,-0.008404786,0.008369565,-0.000317649
6/13/2013,1636.36,7.400229542,0.01467609,-0.014784313,-0.000751649
